name,leg_id,party,slug,division_number,first_name,last_name,cms_id,chamber
Pitts,A4185,Republican,jim-pitts,10,Jim,Pitts,40,H
Price,A2185,Republican,walter-t-four-price,87,Walter T.,Price,3800,H
Quintanilla,A4230,Democratic,chente-quintanilla,75,Chente,Quintanilla,136,H
Raymond,A4215,Democratic,richard-pena-raymond,42,Richard Pena,Raymond,122,H
Reynolds,A2040,Democratic,ron-reynolds,27,Ron,Reynolds,3451,H
Riddle,A4220,Republican,debbie-riddle,150,Debbie,Riddle,130,H
Ritter,A4250,Republican,allan-ritter,21,Allan,Ritter,104,H
"Rodriguez, Eddie",A4270,Democratic,eddie-rodriguez,51,Eddie,Rodriguez,111,H
Schwertner,A2035,Republican,charles-schwertner,20,Charles,Schwertner,3681,H
Scott,A2050,Republican,connie-scott,34,Connie,Scott,3457,H
Sheets,A2225,Republican,kenneth-sheets,107,Kenneth,Sheets,3898,H
Sheffield,A4430,Republican,ralph-sheffield,55,Ralph,Sheffield,197,H
Shelton,A4450,Republican,mark-shelton,97,Mark,Shelton,175,H
Simpson,A2025,Republican,david-simpson,7,David,Simpson,3766,H
"Smith, Todd",A4525,Republican,todd-smith,92,Todd,"Smith, Todd",83,H
"Smith, Wayne",A4540,Republican,wayne-smith,128,Wayne,"Smith, Wayne",135,H
Smithee,A4530,Republican,john-smithee,86,John,Smithee,42,H
Solomons,A4505,Republican,burt-solomons,65,Burt,Solomons,73,H
Strama,A4545,Democratic,mark-strama,50,Mark,Strama,155,H
Straus,A4565,Republican,joe-straus,121,Joe,Straus,163,H
"Taylor, Larry",A4600,Republican,larry-taylor,24,Larry,Taylor,144,H
"Taylor, Van",A4605,Republican,van-taylor,66,Van,Taylor,3045,H
Thompson,A4630,Democratic,senfronia-thompson,141,Senfronia,Thompson,48,H
Torres,A2045,Republican,raul-torres,33,Raul,Torres,3456,H
Truitt,A4650,Republican,vicki-truitt,98,Vicki,Truitt,103,H
Turner,A4685,Democratic,sylvester-turner,139,Sylvester,Turner,51,H
Veasey,A4725,Democratic,marc-veasey,95,Marc,Veasey,160,H
Villarreal,A4800,Democratic,mike-villarreal,123,Mike,Villarreal,107,H
Vo,A4900,Democratic,hubert-vo,149,Hubert,Vo,156,H
Walle,A4930,Democratic,armando-walle,140,Armando,Walle,193,H
Weber,A4950,Republican,randy-weber,29,Randy,Weber,186,H
White,A2030,Republican,james-white,12,James,White,3771,H
Woolley,A5005,Republican,beverly-woolley,136,Beverly,Woolley,64,H
Workman,A2075,Republican,paul-workman,47,Paul,Workman,3684,H
Zedler,A5150,Republican,bill-zedler,96,Bill,Zedler,1758,H
Zerwas,A5170,Republican,john-zerwas,28,John,Zerwas,188,H
Birdwell,A1080,Republican,brian-birdwell,22,Brian,Birdwell,4223,S
Carona,A1150,Republican,john-carona,16,John,Carona,15,S
"Davis, Wendy",A1155,Democratic,wendy-davis,10,Wendy,Davis,192,S
Davis,A1155,Democratic,wendy-davis,10,Wendy,Davis,192,S
Deuell,A1160,Republican,bob-deuell,2,Bob,Deuell,184,S
Duncan,A1165,Republican,robert-duncan,28,Robert,Duncan,56,S
Ellis,A1185,Democratic,rodney-ellis,13,Rodney,Ellis,21,S
Eltife,A1225,Republican,kevin-eltife,1,Kevin,Eltife,97,S
Estes,A1180,Republican,craig-estes,30,Craig,Estes,90,S
Fraser,A1190,Republican,troy-fraser,24,Troy,Fraser,6,S
Gallegos,A1245,Democratic,mario-gallegos-jr,6,Mario,Gallegos Jr.,25,S
Harris,A1215,Republican,chris-harris,9,Chris,Harris,36,S
Hegar,A1230,Republican,glenn-hegar,18,Glenn,Hegar,129,S
Hinojosa,A1250,Democratic,juan-chuy-hinojosa,20,Juan,Hinojosa,1,S
Huffman,A1260,Republican,joan-huffman,17,Joan,Huffman,208,S
"Jackson, Mike",A1270,Republican,mike-jackson,11,Mike,Jackson,38,S
Jackson,A1270,Republican,mike-jackson,11,Mike,Jackson,38,S
Lucio,A1300,Democratic,eddie-lucio-jr,27,Eddie,Lucio Jr.,3,S
Nelson,A1450,Republican,jane-nelson,12,Jane,Nelson,44,S
Nichols,A1400,Republican,robert-nichols,3,Robert,Nichols,93,S
Ogden,A1415,Republican,steve-ogden,5,Steve,Ogden,46,S
"Patrick, Dan",A1430,Republican,dan-patrick,7,Dan,Patrick,205,S
Patrick,A1430,Republican,dan-patrick,7,Dan,Patrick,205,S
"Rodriguez, Jose",A1005,Democratic,jose-rodriguez,29,Eliot,Rodriguez,3818,S
Rodriguez,A1005,Democratic,jose-rodriguez,29,Eliot,Rodriguez,3818,S
Seliger,A1460,Republican,kel-seliger,31,Kel,Seliger,146,S
Shapiro,A1530,Republican,florence-shapiro,8,Florence,Shapiro,53,S
Uresti,A1605,Democratic,carlos-uresti,19,Carlos,Uresti,92,S
Van de Putte,A1615,Democratic,leticia-van-de-putte,26,Leticia,Van de Putte,2562,S
Watson,A1610,Democratic,kirk-watson,14,Kirk,Watson,63,S
Wentworth,A1620,Republican,jeff-wentworth,25,Jeff,Wentworth,54,S
West,A1625,Democratic,royce-west,23,Royce,West,55,S
Whitmire,A1650,Democratic,john-whitmire,15,John,Whitmire,8,S
Williams,A1655,Republican,tommy-williams,4,Tommy,Williams,140,S
Zaffirini,A1700,Democratic,judith-zaffirini,21,Judith,Zaffirini,7,S
